Date,Open_Bitcoin,High_Bitcoin,Low_Bitcoin,Close_Bitcoin,Adj Close_Bitcoin,Volume_Bitcoin,Open_Gold,High_Gold,Low_Gold,Close_Gold,Adj Close_Gold,Volume_Gold,Open_dollar,High_dollar,Low_dollar,Close_dollar,Adj Close_dollar,Volume_dollar,Open_sap500,High_sap500,Low_sap500,Close_sap500,Adj Close_sap500,Volume_sap500,Open_Litcoin,High_Litcoin,Low_Litcoin,Close_Litcoin,Adj Close_Litcoin,Volume_Litcoin,Open_Etherium,High_Etherium,Low_Etherium,Close_Etherium,Adj Close_Etherium,Volume_Etherium
2016-04-15,424.42700199999996,429.928009,424.42700199999996,429.713013,429.713013,54801500.0,1225.699951,1235.0,1225.699951,1233.099976,1233.099976,97.0,94.940002,95.050003,94.510002,94.699997,94.699997,0.0,2083.1,2083.22,2076.31,2080.73,2080.73,3701450000,3.24321,3.28476,3.24153,3.27883,3.27883,1404400.0,8.38606,8.6162,8.09733,8.24278,8.24278,12179000.0
2016-04-18,427.610992,429.27398700000003,427.085999,428.591003,428.591003,55670900.0,1238.699951,1241.099976,1232.199951,1233.599976,1233.599976,304.0,94.699997,94.83000200000001,94.379997,94.489998,94.489998,0.0,2078.83,2094.66,2073.65,2094.34,2094.34,3316880000,3.26037,3.27102,3.2391799999999997,3.24039,3.24039,1317730.0,9.33273,9.50666,8.49687,9.036,9.036,21084100.0
2016-04-19,428.703003,436.01998899999995,428.10400400000003,435.509003,435.509003,52810500.0,1231.599976,1256.199951,1228.800049,1253.0,1253.0,386.0,94.489998,94.550003,93.93,93.980003,93.980003,0.0,2096.05,2104.05,2091.68,2100.8,2100.8,3896830000,3.2489,3.29295,3.2425,3.28517,3.28517,1333410.0,9.075330000000001,9.306239999999999,8.595460000000001,8.71488,8.71488,12899100.0
2016-04-20,435.324005,443.053986,434.40600599999993,441.389008,441.389008,72890096.0,1256.099976,1256.099976,1243.0,1253.199951,1253.199951,180.0,94.129997,94.589996,93.940002,94.489998,94.489998,0.0,2101.52,2111.05,2096.32,2102.4,2102.4,4184880000,3.29175,3.2947300000000004,3.26662,3.2783800000000003,3.2783800000000003,1638920.0,8.688189999999999,8.825389999999999,8.31376,8.46579,8.46579,15634700.0
2016-04-21,441.415985,450.548004,440.951996,449.424988,449.424988,68204704.0,1247.699951,1270.599976,1247.599976,1249.0,1249.0,124.0,94.529999,94.699997,93.91999799999999,94.599998,94.599998,0.0,2102.09,2103.78,2088.52,2091.48,2091.48,4175290000,3.28093,3.35176,3.27347,3.3464,3.3464,1688230.0,8.45346,8.72183,7.962219999999999,8.10217,8.10217,13355400.0
2016-04-22,449.68798799999996,449.80999800000006,444.14999400000005,445.737,445.737,58804400.0,1248.5,1248.5,1228.0,1228.699951,1228.699951,188.0,94.620003,95.199997,94.470001,95.120003,95.120003,0.0,2091.49,2094.32,2081.2,2091.58,2091.58,3790580000,3.34679,3.34809,3.30686,3.3192699999999995,3.3192699999999995,1569850.0,8.14992,8.27232,7.668480000000001,7.8212600000000005,7.8212600000000005,13309300.0
2016-04-25,459.121002,466.619995,453.59200999999996,461.425995,461.425995,87091800.0,1231.599976,1240.900024,1231.599976,1238.900024,1238.900024,442.0,95.110001,95.110001,94.68,94.839996,94.839996,0.0,2089.37,2089.37,2077.52,2087.79,2087.79,3319740000,3.6228599999999997,3.8742400000000004,3.55076,3.8117199999999998,3.8117199999999998,6605750.0,8.007769999999999,8.0946,7.236510000000001,7.55434,7.55434,18239900.0
2016-04-26,461.64800999999994,467.964996,461.621002,466.08898899999997,466.08898899999997,78971904.0,1239.800049,1244.199951,1233.0,1242.199951,1242.199951,97.0,94.779999,94.809998,94.209999,94.57,94.57,0.0,2089.84,2096.87,2085.8,2091.7,2091.7,3557190000,3.7955900000000002,4.11448,3.7863800000000003,4.0458,4.0458,6717450.0,7.52655,7.551819999999999,7.05898,7.39704,7.39704,17667300.0
2016-04-27,466.26199299999996,467.07901,444.134003,444.68701200000004,444.68701200000004,93564896.0,1248.599976,1249.5,1248.599976,1249.199951,1249.199951,547.0,94.529999,94.800003,94.150002,94.389999,94.389999,0.0,2092.33,2099.89,2082.31,2095.15,2095.15,4100110000,4.04861,4.22993,3.86893,3.88971,3.88971,9435190.0,7.388389999999999,7.967739999999999,7.31969,7.75997,7.75997,19254500.0
2016-04-28,445.037994,449.550995,436.64999400000005,449.01098600000006,449.01098600000006,74064704.0,1245.900024,1270.099976,1238.5,1265.5,1265.5,887.0,94.379997,94.58000200000001,93.690002,93.760002,93.760002,0.0,2090.93,2099.3,2071.62,2075.81,2075.81,4309840000,3.87886,3.87944,3.6863099999999998,3.7885,3.7885,3952590.0,7.74069,7.913069999999999,7.1664,7.17253,7.17253,11576000.0
2016-04-29,449.40799000000004,455.384003,446.01699800000006,455.09698499999996,455.09698499999996,49258500.0,1267.300049,1295.5,1267.199951,1289.199951,1289.199951,464.0,93.800003,93.800003,93.010002,93.08000200000001,93.08000200000001,0.0,2071.82,2073.85,2052.28,2065.3,2065.3,4704720000,3.79207,3.84685,3.7235,3.8136,3.8136,2467080.0,7.2070300000000005,7.7309600000000005,7.171889999999999,7.4572899999999995,7.4572899999999995,8762080.0
2016-05-02,451.93301399999996,452.44500700000003,441.77600099999995,444.66900599999997,444.66900599999997,92127000.0,1292.099976,1304.400024,1290.400024,1294.699951,1294.699951,192.0,93.019997,93.07,92.540001,92.629997,92.629997,0.0,2067.17,2083.42,2066.11,2081.43,2081.43,3841110000,3.70871,3.78136,3.6386800000000004,3.68031,3.68031,2667410.0,8.89424,10.3215,8.850719999999999,10.1632,10.1632,41019200.0
